txn_id,date,merchant,amount,currency,status,category,account_id,notes
0d49dd05-2127-460e-a225-7a390306404f,2025/06/06,Spotify,761.82,usd,SUCCESS,Entertainment,A39,Duplicate?
87f792d1-d59f-4143-b09d-d83b956a375d,13-07-2025,Flipkart,2594.22,USD,FAILED,Entertainment,A32,SUSPICIOUS
279a2092-ee46-4bb8-87f9-bb045a6757da,2025/06/11,Netflix,776.4,inr,success,Transport,A5,
172d82e5-5132-4959-a95b-abacb8dcf42e,2025/01/08,Zomato,775.86,USD,failed,Shopping,A9,Anomaly check
16b3f146-4bf0-4535-9a65-36bef2907835,2025/09/22,Ola,2484.71,USD,SUCCESS,,A15,
95526118-efb7-4098-9725-94caf142a7f3,2025/08/25,Swiggy,4866.48,usd,Pending,,A9,
c1657e21-2ea9-4e1e-8fda-607699f4ecda,2025/12/26,Ola,3572.04,inr,SUCCESS,Travel,A26,SUSPICIOUS
fa92db08-2d48-4db1-a165-f805fb5e286b,11-02-2025,Swiggy,$3335.06,inr,PENDING,Other,A27,Anomaly check
6476d671-0d15-43bc-82a8-07f8f2363b30,2025/10/14,IRCTC,$1107.85,usd,FAILED,,A8,
6476d671-0d15-43bc-82a8-07f8f2363b30,2025/10/14,IRCTC,$1107.85,usd,FAILED,,A8,
0d069b5d-3462-46a1-b97d-13870a7d9061,20-01-2025,Shell Petrol,$4763.59,inr,SUCCESS,Shopping,A25,
102b3f8d-0ab7-497b-8599-256d999dbec5,31-12-2025,Zomato,1852.22,INR,FAILED,Travel,A29,
8d61b507-c22b-4846-b0a4-fd8738fb71b6,2025/05/17,Ola,3777.1,USD,PENDING,Other,A45,Duplicate?
ebe47ccb-edb4-4c8c-b7cc-135c4521409d,17-11-2025,Amazon,4710.09,USD,FAILED,Utilities,A41,Refunded
3f58f936-ebea-4e35-823a-dd534d5de24d,07-01-2025,IRCTC,2621.55,USD,success,,A32,Anomaly check
e70e6b56-b35b-4295-88b6-2e0902a09ac6,30-07-2025,Local Bakery,2307.29,inr,FAILED,Transport,A19,Refunded
24f91102-b2e8-4c2a-bb7d-02d4a439a5cf,22-03-2025,Apple,558.16,INR,success,,A38,Anomaly check
